Ano Censo,N̼mero de Vagas Oferecidas,Sigla UF
2013,"24118,7177739688",AC
2013,"57926,6396882017",AL
2013,"96994,6852524608",AM
2013,"21235,0729866144",AP
2013,"325567,961754728",BA
2013,"134159,40421814",CE
2013,"137596,256260028",DF
2013,"103926,629671487",ES
2013,"211954,220107481",GO
2013,"79412,2263127957",MA
2013,"522594,103547131",MG
2013,"115081,47631818",MS
2013,"120727,060572948",MT
2013,"124514,429029644",PA
2013,"78664,312690384",PB
2013,"182555,313460244",PE
2013,"66780,0194521109",PI
2013,"375701,818832799",PR
2013,"404427,639246007",RJ
2013,"75798,1429779131",RN
2013,"58766,0408204752",RO
2013,"13638,8261629307",RR
2013,"325933,202390885",RS
2013,"233294,066881462",SC
2013,"51144,7245345421",SE
2013,"1885236,10221821",SP
2013,"47631,9068382271",TO
2012,"17334,9539896321",AC
2012,"49502,0561282492",AL
2012,"67631,6386997279",AM
2012,"19223,3914333965",AP
2012,"251818,855170332",BA
2012,"93105,2779985028",CE
2012,"112511,835929872",DF
2012,"84070,5425694211",ES
2012,"163546,72906828",GO
2012,"61285,1616449618",MA
2012,"426804,617901481",MG
2012,"84169,2425249451",MS
2012,"91249,3358765903",MT
2012,"93418,1958306786",PA
2012,"60202,4653446898",PB
2012,"136819,884318958",PE
2012,"51447,6645905993",PI
2012,"299793,558297014",PR
2012,"383898,050563101",RJ
2012,"57053,1747466974",RN
2012,"39624,1808074904",RO
2012,"10329,0583841807",RR
2012,"229431,216980804",RS
2012,"155432,926343243",SC
2012,"39135,7547212024",SE
2012,"1557320,91985128",SP
2012,"36507,3102846671",TO
2011,"17069,4148926123",AC
2011,"39170,7943798118",AL
2011,"61127,3554851193",AM
2011,"19038,958066411",AP
2011,"229723,4763616",BA
2011,"84791,3030879466",CE
2011,"109336,926698887",DF
2011,"84469,5372453868",ES
2011,"169861,667192989",GO
2011,"48854,596872158",MA
2011,"419278,326896207",MG
2011,"68140,4305043318",MS
2011,"91345,4779148472",MT
2011,"76357,2925904732",PA
2011,"54989,306715651",PB
2011,"123867,850410215",PE
2011,"51300,0851107247",PI
2011,"279680,896757477",PR
2011,"349342,873142649",RJ
2011,"51527,6319547719",RN
2011,"43058,9525259444",RO
2011,"12481,8831549594",RR
2011,"209484,927636835",RS
2011,"154366,125716546",SC
2011,"39670,5649030462",SE
2011,"1553355,50501713",SP
2011,"32638,8387652654",TO
2010,0,-
2010,"17774,5465229611",AC
2010,"52798,6675716151",AL
2010,"63118,4321089381",AM
2010,"31785,8181929586",AP
2010,"295877,627264012",BA
2010,"87345,6999448894",CE
2010,"153361,455782613",DF
2010,"85011,8911452962",ES
2010,"172327,875634429",GO
2010,"70738,3435398468",MA
2010,"465895,188224815",MG
2010,"331947,347422591",MS
2010,"102870,094615491",MT
2010,"115876,935943408",PA
2010,"55645,9826050357",PB
2010,"132759,666519306",PE
2010,"42845,4405496698",PI
2010,"424505,292004574",PR
2010,"410863,190708117",RJ
2010,"62981,7160239958",RN
2010,"44290,3103426161",RO
2010,"9371,52574256918",RR
2010,"511957,853221124",RS
2010,"187061,407105915",SC
2010,"50255,4671518418",SE
2010,"2429037,59076281",SP
2010,"31747,6333485576",TO
2009,12641,-
2009,10270,AC
2009,29989,AL
2009,66800,AM
2009,14272,AP
2009,199778,BA
2009,59090,CE
2009,132116,DF
2009,69093,ES
2009,117112,GO
2009,46529,MA
2009,343356,MG
2009,144284,MS
2009,67290,MT
2009,53841,PA
2009,40509,PB
2009,100203,PE
2009,39466,PI
2009,365366,PR
2009,430405,RJ
2009,41908,RN
2009,31203,RO
2009,8309,RR
2009,568038,RS
2009,134837,SC
2009,37761,SE
2009,1964593,SP
2009,16914,TO
